Year,Annual,Summer,Winter,Model
2015,53.63529,143.01611328125,3.3368632793426514,IPSL-CM6A-LR
2016,56.138844,151.09275817871094,3.124596357345581,IPSL-CM6A-LR
2017,56.86386,150.54103088378906,3.44731068611145,IPSL-CM6A-LR
2018,57.774536,154.45420837402344,3.5090084075927734,IPSL-CM6A-LR
2019,56.278065,149.1792755126953,3.409579038619995,IPSL-CM6A-LR
2020,56.37154,150.18695068359375,3.6636340618133545,IPSL-CM6A-LR
2021,54.21045,143.78240966796875,3.4299144744873047,IPSL-CM6A-LR
2022,55.09112,145.84088134765625,3.2986233234405518,IPSL-CM6A-LR
2023,56.35729,149.40774536132812,3.602144241333008,IPSL-CM6A-LR
2024,55.922577,150.4021453857422,3.254749298095703,IPSL-CM6A-LR
2025,57.56117,152.8787384033203,3.3653767108917236,IPSL-CM6A-LR
2026,56.518726,151.09629821777344,3.545393943786621,IPSL-CM6A-LR
2027,57.239086,154.4726104736328,3.4955976009368896,IPSL-CM6A-LR
2028,56.50517,151.35069274902344,3.5529606342315674,IPSL-CM6A-LR
2029,55.550262,149.37364196777344,3.394306182861328,IPSL-CM6A-LR
2030,56.3284,151.453369140625,3.458268165588379,IPSL-CM6A-LR
2031,54.52313,148.497802734375,3.216576337814331,IPSL-CM6A-LR
2032,55.136646,148.14710998535156,3.533644437789917,IPSL-CM6A-LR
2033,56.29942,151.2740020751953,3.38413143157959,IPSL-CM6A-LR
2034,54.79433,148.2134246826172,3.360607385635376,IPSL-CM6A-LR
2035,57.19614,154.05743408203125,3.3493967056274414,IPSL-CM6A-LR
2036,54.51187,146.52891540527344,3.243112325668335,IPSL-CM6A-LR
2037,57.501144,151.43865966796875,3.728743553161621,IPSL-CM6A-LR
2038,56.88147,153.09474182128906,3.7525055408477783,IPSL-CM6A-LR
2039,58.616867,155.04534912109375,3.9543673992156982,IPSL-CM6A-LR
2040,56.675716,150.83424377441406,3.775088310241699,IPSL-CM6A-LR
2041,57.775135,153.84368896484375,3.47867751121521,IPSL-CM6A-LR
2042,60.502827,158.2539520263672,4.163314342498779,IPSL-CM6A-LR
2043,57.480106,152.8196258544922,3.7154572010040283,IPSL-CM6A-LR
2044,57.11514,149.7510528564453,3.747084379196167,IPSL-CM6A-LR
2045,58.341274,155.66741943359375,3.8519928455352783,IPSL-CM6A-LR
2046,56.73067,151.1173858642578,3.457073926925659,IPSL-CM6A-LR
2047,56.50606,150.11756896972656,3.6200549602508545,IPSL-CM6A-LR
2048,57.782337,151.2567901611328,3.591904878616333,IPSL-CM6A-LR
2049,58.51663,152.38194274902344,3.9909751415252686,IPSL-CM6A-LR
2050,59.534092,155.6670684814453,3.672819137573242,IPSL-CM6A-LR
2051,58.289898,152.81163024902344,3.985847234725952,IPSL-CM6A-LR
2052,57.846874,154.4297332763672,3.7645351886749268,IPSL-CM6A-LR
2053,57.014507,151.40745544433594,3.588481903076172,IPSL-CM6A-LR
2054,57.738018,153.76463317871094,3.830157518386841,IPSL-CM6A-LR
2055,59.37396,156.087890625,3.5071780681610107,IPSL-CM6A-LR
2056,59.995274,158.03721618652344,4.019155025482178,IPSL-CM6A-LR
2057,61.110233,158.5036163330078,3.9756581783294678,IPSL-CM6A-LR
2058,61.310577,158.97471618652344,4.150752544403076,IPSL-CM6A-LR
2059,59.4964,155.45225524902344,3.935873031616211,IPSL-CM6A-LR
2060,60.04468,155.7474822998047,3.9335548877716064,IPSL-CM6A-LR
2061,59.152023,154.42796325683594,3.9441416263580322,IPSL-CM6A-LR
2062,58.596577,154.64707946777344,3.732539415359497,IPSL-CM6A-LR
2063,60.64215,156.1236114501953,4.041484355926514,IPSL-CM6A-LR
2064,59.463062,154.55316162109375,4.1115264892578125,IPSL-CM6A-LR
2065,58.019073,150.0971221923828,4.0167717933654785,IPSL-CM6A-LR
2066,60.38431,155.1170196533203,3.971567392349243,IPSL-CM6A-LR
2067,59.685856,154.58213806152344,4.04650354385376,IPSL-CM6A-LR
2068,58.07436,148.9662628173828,3.8440282344818115,IPSL-CM6A-LR
2069,61.518658,158.5806121826172,4.0918731689453125,IPSL-CM6A-LR
2070,61.44122,158.4824981689453,4.307150840759277,IPSL-CM6A-LR
2071,60.8356,159.06829833984375,4.1532511711120605,IPSL-CM6A-LR
2072,60.781116,157.60264587402344,4.005394458770752,IPSL-CM6A-LR
2073,59.110474,153.5105743408203,4.1607441902160645,IPSL-CM6A-LR
2074,60.560276,157.5486602783203,4.256970405578613,IPSL-CM6A-LR
2075,59.715816,154.74656677246094,4.150210380554199,IPSL-CM6A-LR
2076,61.482685,157.36001586914062,4.2795796394348145,IPSL-CM6A-LR
2077,61.25343,156.42279052734375,4.2215962409973145,IPSL-CM6A-LR
2078,61.115246,155.8994140625,4.1450090408325195,IPSL-CM6A-LR
2079,61.272877,158.5487518310547,4.123042583465576,IPSL-CM6A-LR
2080,61.474903,157.25721740722656,4.205118656158447,IPSL-CM6A-LR
2081,60.809864,154.92425537109375,4.369052410125732,IPSL-CM6A-LR
2082,60.46881,157.1552276611328,4.16354513168335,IPSL-CM6A-LR
2083,60.345776,154.1467742919922,4.260486125946045,IPSL-CM6A-LR
2084,62.23326,160.96954345703125,4.274930477142334,IPSL-CM6A-LR
2085,60.963566,157.06300354003906,4.086226463317871,IPSL-CM6A-LR
2086,61.545086,157.41531372070312,4.146172046661377,IPSL-CM6A-LR
2087,61.828724,157.25938415527344,4.114028453826904,IPSL-CM6A-LR
2088,61.68514,156.53489685058594,4.319125652313232,IPSL-CM6A-LR
2089,63.981335,160.57774353027344,4.576098918914795,IPSL-CM6A-LR
2090,62.327625,158.17276000976562,4.360928058624268,IPSL-CM6A-LR
2091,62.847797,156.05201721191406,4.543274402618408,IPSL-CM6A-LR
2092,61.10583,153.68341064453125,4.502854347229004,IPSL-CM6A-LR
2093,63.415405,159.20094299316406,4.532817363739014,IPSL-CM6A-LR
2094,61.366245,158.49171447753906,4.162923812866211,IPSL-CM6A-LR
2095,61.32576,157.4430389404297,4.30858039855957,IPSL-CM6A-LR
2096,64.21548,164.2928466796875,4.387911319732666,IPSL-CM6A-LR
2097,64.73501,165.16651916503906,4.448482990264893,IPSL-CM6A-LR
2098,64.649635,163.01194763183594,4.436949253082275,IPSL-CM6A-LR
2099,63.772217,160.0784454345703,4.189510345458984,IPSL-CM6A-LR
2100,64.70239,164.91661071777344,4.246860980987549,IPSL-CM6A-LR
