Year,Annual,Summer,Winter,Model
2015,0.8595732881567962,0.4006980525040884,0.9819353291300562,IPSL-CM6A-LR
2016,0.8305969918925357,0.3725235412816849,0.9795624830963273,IPSL-CM6A-LR
2017,0.8355201258400112,0.44450248139447135,0.9796230474394462,IPSL-CM6A-LR
2018,0.8415700755257833,0.4015834800985731,0.9807370574294255,IPSL-CM6A-LR
2019,0.8252473580834153,0.48738151322142137,0.9857398042920695,IPSL-CM6A-LR
2020,0.8475177029694124,0.41122593297565313,0.9857852589393099,IPSL-CM6A-LR
2021,0.8470070410808005,0.4821232124693551,0.9897796136452597,IPSL-CM6A-LR
2022,0.853776362795777,0.5538838253938043,0.9835529140564756,IPSL-CM6A-LR
2023,0.8595021961592219,0.47576390595650947,0.9807739488082307,IPSL-CM6A-LR
2024,0.8385912312836488,0.45288123748204034,0.9839612228618606,IPSL-CM6A-LR
2025,0.8525172874001674,0.5271821535352683,0.9836630267793728,IPSL-CM6A-LR
2026,0.8531757578312648,0.4586974009056718,0.9825332971995876,IPSL-CM6A-LR
2027,0.8610367040122702,0.5848842548696289,0.9833634752085899,IPSL-CM6A-LR
2028,0.8580240581103628,0.46334885609945503,0.9836482747195546,IPSL-CM6A-LR
2029,0.8349582049453036,0.48013075134949174,0.981452345561532,IPSL-CM6A-LR
2030,0.8179644755090442,0.37431062403583754,0.9854927470719672,IPSL-CM6A-LR
2031,0.8565309199416716,0.5093520529730197,0.9814197969554866,IPSL-CM6A-LR
2032,0.8432788956124826,0.5104770155021575,0.9836018908166543,IPSL-CM6A-LR
2033,0.8385350672425765,0.35770096161744863,0.9835560495818727,IPSL-CM6A-LR
2034,0.851589766953313,0.4874877071490321,0.9884393403181004,IPSL-CM6A-LR
2035,0.8437201342096151,0.5079526524441647,0.9811439325590369,IPSL-CM6A-LR
2036,0.8416364169264795,0.5850507322649336,0.9836776709230332,IPSL-CM6A-LR
2037,0.8387161051221587,0.4221142840884874,0.9876372097289672,IPSL-CM6A-LR
2038,0.8730856925566077,0.3510228771566245,0.981492400953473,IPSL-CM6A-LR
2039,0.8276199210786092,0.6099431384683315,0.9873934117661356,IPSL-CM6A-LR
2040,0.8558160632581315,0.5325145187416617,0.9841509582873434,IPSL-CM6A-LR
2041,0.838777977710688,0.35925397935066694,0.9783408367499208,IPSL-CM6A-LR
2042,0.8346758043600242,0.46932512493472267,0.9843874514143185,IPSL-CM6A-LR
2043,0.8403224462517188,0.5617158133280105,0.9803862915802584,IPSL-CM6A-LR
2044,0.8438297227479993,0.46745637012852004,0.9853502101207486,IPSL-CM6A-LR
2045,0.8506576894327734,0.6085245573183239,0.9854653687623972,IPSL-CM6A-LR
2046,0.8463159358049474,0.5755156776801097,0.9821668953669136,IPSL-CM6A-LR
2047,0.8586211910774676,0.5047949209543785,0.9829402773894443,IPSL-CM6A-LR
2048,0.8454043068475082,0.5101519257476,0.9833270897812666,IPSL-CM6A-LR
2049,0.8308586757121601,0.441132861129723,0.9797809180526008,IPSL-CM6A-LR
2050,0.8612253519909362,0.5085700277761857,0.9848405036383784,IPSL-CM6A-LR
2051,0.8563077378802695,0.5262986062562991,0.9815440444681209,IPSL-CM6A-LR
2052,0.8504595858813023,0.5813089673324815,0.9837251484798414,IPSL-CM6A-LR
2053,0.8599423903276868,0.5380324960100756,0.9824633633186088,IPSL-CM6A-LR
2054,0.8543896674541515,0.5400514209222037,0.984332132597152,IPSL-CM6A-LR
2055,0.856258657128813,0.5840916568928789,0.9846716080956219,IPSL-CM6A-LR
2056,0.8485061834351884,0.4845299976358092,0.9857928309995281,IPSL-CM6A-LR
2057,0.8489710059996028,0.5107352105493409,0.9851324951079246,IPSL-CM6A-LR
2058,0.8470586181079381,0.49475999110954516,0.9815886720315629,IPSL-CM6A-LR
