Year,Annual,Summer,Winter,Model
2015,0.9089066729776828,0.6468237821251968,0.9752485652224223,IPSL-CM6A-LR
2016,0.8866636411291355,0.656513989185746,0.9721472133208311,IPSL-CM6A-LR
2017,0.8884923168063436,0.6128034470733039,0.9724677586439456,IPSL-CM6A-LR
2018,0.8780482550332537,0.7005530852152916,0.9815467805175937,IPSL-CM6A-LR
2019,0.9057669730429933,0.6919913590908812,0.9723476082343852,IPSL-CM6A-LR
2020,0.8944987077310821,0.7489652796206596,0.9788798787917645,IPSL-CM6A-LR
2021,0.909887061964045,0.7508840295651631,0.9828666978517605,IPSL-CM6A-LR
2022,0.8994953218681023,0.7176939112083437,0.9757827852608076,IPSL-CM6A-LR
2023,0.9001370712855471,0.7234847800130404,0.9691263752666891,IPSL-CM6A-LR
2024,0.8983758705826251,0.6891350883657322,0.976310933234235,IPSL-CM6A-LR
2025,0.8900727887769939,0.6949263240343491,0.9762391429321909,IPSL-CM6A-LR
2026,0.8977278256956094,0.6687804421422763,0.9701553691815662,IPSL-CM6A-LR
2027,0.8872638145300984,0.7058195896018539,0.9804310228423339,IPSL-CM6A-LR
2028,0.8917259306306793,0.7267156526634989,0.9774047574902465,IPSL-CM6A-LR
2029,0.9025593240388793,0.6971397294759836,0.9729935414611267,IPSL-CM6A-LR
2030,0.8843226751630632,0.6444866493008331,0.9781615586521376,IPSL-CM6A-LR
2031,0.9028421393720797,0.7115538816828298,0.9748194536246586,IPSL-CM6A-LR
2032,0.8968010029573225,0.6892593328225358,0.9769396698831156,IPSL-CM6A-LR
2033,0.8930477321948644,0.7348201595364501,0.96728685595316,IPSL-CM6A-LR
2034,0.9089837886277716,0.6781172486476037,0.9817574176920261,IPSL-CM6A-LR
2035,0.8784009211639202,0.770812793484424,0.9712968012424361,IPSL-CM6A-LR
2036,0.9059463662911496,0.782035387282325,0.9764154760305054,IPSL-CM6A-LR
2037,0.9043690542344128,0.6564143590942462,0.9848809328071559,IPSL-CM6A-LR
2038,0.8935684220375056,0.6337862057589955,0.9732021164986155,IPSL-CM6A-LR
2039,0.8751630870787587,0.7163066873594788,0.9829527959647372,IPSL-CM6A-LR
2040,0.9015003368522542,0.7461182588875213,0.9759566210949367,IPSL-CM6A-LR
2041,0.8957251349357475,0.6459763313048722,0.9757275427141895,IPSL-CM6A-LR
2042,0.883149443551389,0.6830557496427895,0.9763179157418413,IPSL-CM6A-LR
2043,0.8897820562867024,0.7349518248816955,0.9691685503654331,IPSL-CM6A-LR
2044,0.9035357070262706,0.6241376251751565,0.976892868225287,IPSL-CM6A-LR
2045,0.8851728691234361,0.7237960866545247,0.9782717170232175,IPSL-CM6A-LR
2046,0.8918181759642998,0.6699980061142751,0.9728356130286353,IPSL-CM6A-LR
2047,0.8954041879565088,0.7084771399185288,0.9702587086639445,IPSL-CM6A-LR
2048,0.8916124729479481,0.7304680050640378,0.9748122557322352,IPSL-CM6A-LR
2049,0.9002719865756689,0.6293893736095004,0.9680171633762444,IPSL-CM6A-LR
2050,0.8894944324124928,0.657167625522069,0.978813490031042,IPSL-CM6A-LR
2051,0.8918719991659164,0.6640811901840077,0.9729451465566135,IPSL-CM6A-LR
2052,0.8833486358982268,0.7453795384925133,0.9792510015802103,IPSL-CM6A-LR
2053,0.8991603024815311,0.6939922428687751,0.9763241594429546,IPSL-CM6A-LR
2054,0.8812064465497769,0.7146647131164816,0.9775021266843207,IPSL-CM6A-LR
2055,0.8901528932141463,0.6761299160352432,0.9761519930177998,IPSL-CM6A-LR
2056,0.8896605080021324,0.6827857663968196,0.976332298879962,IPSL-CM6A-LR
2057,0.8838727521039438,0.6164500218883591,0.9793510045979837,IPSL-CM6A-LR
2058,0.8863403778907224,0.6824517437024364,0.9727160605294445,IPSL-CM6A-LR
2059,0.8942928213299283,0.57973823820081,0.9693537441426943,IPSL-CM6A-LR
2060,0.8678720468521526,0.6166460005752353,0.9734954748909144,IPSL-CM6A-LR
2061,0.8868417931277177,0.6903898599951984,0.9748730846441195,IPSL-CM6A-LR
2062,0.8913183888325449,0.623813748502076,0.9726320089461125,IPSL-CM6A-LR
2063,0.8825546114268858,0.6193952582534901,0.9753191426022116,IPSL-CM6A-LR
2064,0.8863678504207234,0.7297092139582243,0.9778288655956352,IPSL-CM6A-LR
2065,0.8984777414744459,0.6582856681666918,0.9729010707147666,IPSL-CM6A-LR
2066,0.896504103483772,0.538652953085648,0.9765670177213435,IPSL-CM6A-LR
2067,0.8632491453804358,0.7103074090097705,0.9777784491129486,IPSL-CM6A-LR
2068,0.9021630858359226,0.6475793171281713,0.970328641064517,IPSL-CM6A-LR
2069,0.8873239728544879,0.5444022524207475,0.9776863453511722,IPSL-CM6A-LR
2070,0.8734695841403726,0.6380729404929579,0.9755837019320655,IPSL-CM6A-LR
2071,0.8711097575787649,0.5797174974419441,0.9749121292578699,IPSL-CM6A-LR
2072,0.8763001892561925,0.7269103744985831,0.9713806625342082,IPSL-CM6A-LR
2073,0.9034854083688365,0.6914922065730478,0.9713864656000342,IPSL-CM6A-LR
2074,0.8819864524449322,0.6794719046033373,0.9698941538726723,IPSL-CM6A-LR
2075,0.8913488649112491,0.7002567472328789,0.9768108679817239,IPSL-CM6A-LR
2076,0.8654363215430653,0.6807652036037682,0.9731774021475496,IPSL-CM6A-LR
2077,0.8929169232127419,0.6498390716524731,0.9733536616960449,IPSL-CM6A-LR
2078,0.8829520792249298,0.5813466436713152,0.9746396136708632,IPSL-CM6A-LR
2079,0.8776566159836895,0.6643198546955988,0.9736382285259849,IPSL-CM6A-LR
2080,0.8845899300555474,0.6246458180376822,0.9779409924540994,IPSL-CM6A-LR
2081,0.8888647077872425,0.5758025698969303,0.9747387410830409,IPSL-CM6A-LR
2082,0.8707366564681576,0.7039008345496853,0.970257098808377,IPSL-CM6A-LR
2083,0.8979315634154118,0.6408904865552996,0.9767429971199533,IPSL-CM6A-LR
2084,0.8774847421061404,0.621946077638439,0.9750710080335944,IPSL-CM6A-LR
2085,0.8690644836684918,0.5889859105545512,0.97451694680664,IPSL-CM6A-LR
2086,0.8942940614740059,0.6846419533876038,0.9801565034892663,IPSL-CM6A-LR
2087,0.8738567286142315,0.6648650615272693,0.9721210029739199,IPSL-CM6A-LR
2088,0.883960473543736,0.6162565726806305,0.9737411845555396,IPSL-CM6A-LR
2089,0.8825736931000957,0.6479985971864224,0.9751186740879432,IPSL-CM6A-LR
2090,0.8745526751731706,0.6457450981924389,0.9746300932847598,IPSL-CM6A-LR
2091,0.8816729502194166,0.7032557286149211,0.9802683805501368,IPSL-CM6A-LR
2092,0.8903548518256245,0.6117607889285763,0.9746126703249859,IPSL-CM6A-LR
2093,0.8854063917584981,0.6370269620210836,0.981852373355985,IPSL-CM6A-LR
2094,0.8739538941084364,0.7018759469460121,0.9785709785193353,IPSL-CM6A-LR
2095,0.8882545708931889,0.6174322823754684,0.9722525018682245,IPSL-CM6A-LR
2096,0.8777843605466639,0.6216066859780965,0.9752085635197137,IPSL-CM6A-LR
2097,0.8797113865034469,0.6958834400655391,0.9735974346464609,IPSL-CM6A-LR
2098,0.889610654811348,0.643672255463958,0.9753794499889582,IPSL-CM6A-LR
2099,0.8841767653355652,0.6557699713489414,0.9759129475309896,IPSL-CM6A-LR
2100,0.8838242030717988,0.7422892390378261,0.9756638300685858,IPSL-CM6A-LR
