Year,Annual,Summer,Winter,Model
2015,-0.7409222171113486,-0.8394720326114532,-0.8164538325233921,IPSL-CM6A-LR
2016,-0.7452974374679973,-0.8487453053391418,-0.8287075043219153,IPSL-CM6A-LR
2017,-0.6895820862172721,-0.784870662361965,-0.7978210110034134,IPSL-CM6A-LR
2018,-0.692956014276151,-0.8449423903270827,-0.8057241647361967,IPSL-CM6A-LR
2019,-0.725934223834506,-0.7594528527121133,-0.801630685803607,IPSL-CM6A-LR
2020,-0.71899530082601,-0.8113610577018245,-0.8106065642008664,IPSL-CM6A-LR
2021,-0.6830930168695342,-0.7842645174530205,-0.762555606395809,IPSL-CM6A-LR
2022,-0.7100134335645955,-0.8082945627268672,-0.751289482489494,IPSL-CM6A-LR
2023,-0.745130160689516,-0.7586860328258717,-0.8362626067593839,IPSL-CM6A-LR
2024,-0.6724842731768268,-0.8035756176689115,-0.808374314640707,IPSL-CM6A-LR
2025,-0.7052279743981004,-0.7799607030800878,-0.8367492508489996,IPSL-CM6A-LR
2026,-0.7171883915451351,-0.8768979264630323,-0.8692552499490744,IPSL-CM6A-LR
2027,-0.7631998271371759,-0.8738028727869521,-0.8301842493940503,IPSL-CM6A-LR
2028,-0.7940452417000889,-0.857017603635956,-0.8276004138429589,IPSL-CM6A-LR
2029,-0.7536696116309815,-0.8162382416873197,-0.8576615699405363,IPSL-CM6A-LR
2030,-0.7006851375177175,-0.7538722586961784,-0.8509188039788516,IPSL-CM6A-LR
2031,-0.6918523260352862,-0.8799930661509181,-0.8147095141081961,IPSL-CM6A-LR
2032,-0.7809367047302239,-0.8659231245091962,-0.8679773988838638,IPSL-CM6A-LR
2033,-0.7696396159779465,-0.8088412608457024,-0.8623140200838125,IPSL-CM6A-LR
2034,-0.7341864637559533,-0.8510343572618713,-0.8126971804612868,IPSL-CM6A-LR
2035,-0.7293742783936801,-0.8423433598037402,-0.8578060518151839,IPSL-CM6A-LR
2036,-0.7244363767557703,-0.8357515459754583,-0.835534294765181,IPSL-CM6A-LR
2037,-0.7344947844042521,-0.7530105886231903,-0.792307298518343,IPSL-CM6A-LR
2038,-0.6802866189562714,-0.8512219513594913,-0.8384357720645091,IPSL-CM6A-LR
2039,-0.7067190863173322,-0.9005197643118221,-0.8454729384875741,IPSL-CM6A-LR
2040,-0.7783812179960109,-0.749137427792823,-0.8703276223880241,IPSL-CM6A-LR
2041,-0.6622331760600666,-0.8258014208460499,-0.862329602047372,IPSL-CM6A-LR
2042,-0.7234514317277796,-0.8317932109062566,-0.8049941894572838,IPSL-CM6A-LR
2043,-0.7093994752941689,-0.7582918209334344,-0.8449346259253128,IPSL-CM6A-LR
2044,-0.6569517968593046,-0.7846430066064032,-0.7892355258507763,IPSL-CM6A-LR
2045,-0.6697800254778387,-0.8432296585577327,-0.8259636407829318,IPSL-CM6A-LR
2046,-0.7417154130656048,-0.7919579432588462,-0.8132371770063892,IPSL-CM6A-LR
2047,-0.7179661667360203,-0.7843832797023559,-0.8470511374545274,IPSL-CM6A-LR
2048,-0.6740476813655633,-0.8263338874067682,-0.7664673837355676,IPSL-CM6A-LR
2049,-0.7303463002403617,-0.719934981375862,-0.8694132648746709,IPSL-CM6A-LR
2050,-0.6270265056148862,-0.7378856523440379,-0.8397072199687668,IPSL-CM6A-LR
2051,-0.709206168328571,-0.8021520153552497,-0.8212402527094464,IPSL-CM6A-LR
2052,-0.7062800379160937,-0.7306457910854073,-0.8233069535602796,IPSL-CM6A-LR
2053,-0.6885697723496529,-0.7755234564740939,-0.8376436198370133,IPSL-CM6A-LR
2054,-0.6922375722934397,-0.8225388374407246,-0.8265273202619198,IPSL-CM6A-LR
2055,-0.6787404464396657,-0.7205094795325917,-0.853478115670989,IPSL-CM6A-LR
2056,-0.6296393288192,-0.7284414124176757,-0.7889513298131617,IPSL-CM6A-LR
2057,-0.5800315288283082,-0.711805108377326,-0.7174810164310459,IPSL-CM6A-LR
2058,-0.6026690852718362,-0.7535638069479298,-0.7793082726280874,IPSL-CM6A-LR
2059,-0.6956011608002406,-0.7277560472384621,-0.7789845612728932,IPSL-CM6A-LR
2060,-0.6417497724975971,-0.7637005548533854,-0.824285471860335,IPSL-CM6A-LR
2061,-0.6341458592290402,-0.8421142044216083,-0.8034411070465892,IPSL-CM6A-LR
2062,-0.7288724375930258,-0.7659877896772238,-0.8351940190849467,IPSL-CM6A-LR
2063,-0.6352677207036511,-0.8057021977659652,-0.8189061762277441,IPSL-CM6A-LR
