Year,Annual,Summer,Winter,Model
2015,-0.886399707876976,-0.9497967915260029,-0.8358653422480035,IPSL-CM6A-LR
2016,-0.8705679161710308,-0.9273116354676866,-0.8275141354845829,IPSL-CM6A-LR
2017,-0.8417406066309391,-0.9032237602744723,-0.8396225386557994,IPSL-CM6A-LR
2018,-0.8614176980898814,-0.9442324779506128,-0.8326202129874041,IPSL-CM6A-LR
2019,-0.8765684278708444,-0.9389157495747266,-0.8430396909473655,IPSL-CM6A-LR
2020,-0.8717050491179387,-0.959957645738793,-0.8546195896152535,IPSL-CM6A-LR
2021,-0.8675615190266331,-0.9334741274217935,-0.8327542553220024,IPSL-CM6A-LR
2022,-0.8625695415271468,-0.9471135922644877,-0.7988949365625799,IPSL-CM6A-LR
2023,-0.8691255679282714,-0.9185332895343207,-0.8387292884651517,IPSL-CM6A-LR
2024,-0.853853662992189,-0.9198401858600678,-0.8165439655391542,IPSL-CM6A-LR
2025,-0.8544771738576652,-0.9193984332221464,-0.8240542936742888,IPSL-CM6A-LR
2026,-0.8721839094636645,-0.9422738365527289,-0.8620445551269896,IPSL-CM6A-LR
2027,-0.863877372252642,-0.9220611584393237,-0.8226556228990699,IPSL-CM6A-LR
2028,-0.8731329379357945,-0.9361937363632898,-0.8511803097569179,IPSL-CM6A-LR
2029,-0.8780459545705317,-0.9372031578998491,-0.8567679572713115,IPSL-CM6A-LR
2030,-0.869777242926701,-0.9458626504402176,-0.8595298493967038,IPSL-CM6A-LR
2031,-0.8743729007329047,-0.94078402324812,-0.8564805596906909,IPSL-CM6A-LR
2032,-0.8666953049569982,-0.9316898079986117,-0.8367916657607687,IPSL-CM6A-LR
2033,-0.8790103061347984,-0.93142051957656,-0.8720788565344584,IPSL-CM6A-LR
2034,-0.8644742991674287,-0.8979335714659492,-0.8223127140810857,IPSL-CM6A-LR
2035,-0.848721701811849,-0.945179532697186,-0.85424495940778,IPSL-CM6A-LR
2036,-0.8708006852743152,-0.9373427633922766,-0.8270310777985102,IPSL-CM6A-LR
2037,-0.8636693804347244,-0.9193926603538992,-0.8134195591514846,IPSL-CM6A-LR
2038,-0.8631462942545994,-0.9105519766299219,-0.8608449606755979,IPSL-CM6A-LR
2039,-0.8418660495510353,-0.9335975964805674,-0.8393552875960406,IPSL-CM6A-LR
2040,-0.8564547453588441,-0.9347208238579643,-0.850633184673845,IPSL-CM6A-LR
2041,-0.8654374270501434,-0.9123335367392342,-0.8596421774232758,IPSL-CM6A-LR
2042,-0.8329161143303428,-0.9164761001475843,-0.8122742762838141,IPSL-CM6A-LR
2043,-0.8507228018202806,-0.9298423374857575,-0.831027503974429,IPSL-CM6A-LR
2044,-0.8465688672485999,-0.902660724286827,-0.8204334491923884,IPSL-CM6A-LR
2045,-0.8211846268798556,-0.9234642922447673,-0.8300546230358963,IPSL-CM6A-LR
2046,-0.8648980346013967,-0.8955477915246483,-0.842676515256107,IPSL-CM6A-LR
2047,-0.8481526965691158,-0.9312638239888601,-0.8537414752741641,IPSL-CM6A-LR
2048,-0.849136638881831,-0.9479755936555501,-0.8039032068067676,IPSL-CM6A-LR
2049,-0.8671375332626438,-0.8924917847153586,-0.8730303017727582,IPSL-CM6A-LR
2050,-0.8381773566980466,-0.9028618919354165,-0.8481167990694481,IPSL-CM6A-LR
2051,-0.8271356206770015,-0.8605933013016597,-0.8228946872775986,IPSL-CM6A-LR
2052,-0.815194358413612,-0.9211038566750483,-0.8004120396051501,IPSL-CM6A-LR
2053,-0.8667734434927311,-0.9329673213141423,-0.8592886272553134,IPSL-CM6A-LR
2054,-0.8411510920332418,-0.9078461590622081,-0.8275524183560947,IPSL-CM6A-LR
2055,-0.8429759591651941,-0.8756675405220542,-0.8329422121022683,IPSL-CM6A-LR
2056,-0.8019190780875994,-0.9045057034408189,-0.8251235359013334,IPSL-CM6A-LR
2057,-0.8023046551203578,-0.8254612894013338,-0.7997500120746233,IPSL-CM6A-LR
2058,-0.7872693323992137,-0.9043583863717488,-0.8622877182653733,IPSL-CM6A-LR
2059,-0.8240957185144587,-0.8616196427066073,-0.8329429664649612,IPSL-CM6A-LR
2060,-0.787076974383124,-0.893022209849273,-0.8350903343929201,IPSL-CM6A-LR
2061,-0.7951263342900813,-0.9344655538033378,-0.8026334445576957,IPSL-CM6A-LR
2062,-0.830663040936178,-0.8819828906431307,-0.8345822252009077,IPSL-CM6A-LR
2063,-0.8254761708885017,-0.9073247756511813,-0.850592624872529,IPSL-CM6A-LR
2064,-0.8170378567888933,-0.9171131528903591,-0.8395169755789595,IPSL-CM6A-LR
2065,-0.8498589684234843,-0.9124659537023353,-0.8562620073845165,IPSL-CM6A-LR
2066,-0.8208501158333079,-0.8426471669726803,-0.8374736392268645,IPSL-CM6A-LR
2067,-0.7607486785575986,-0.913911535974502,-0.8192904677632984,IPSL-CM6A-LR
2068,-0.8180975139126129,-0.8488656521839009,-0.8129254214073399,IPSL-CM6A-LR
2069,-0.7705310844753419,-0.8731004264606721,-0.8187512816719973,IPSL-CM6A-LR
2070,-0.7600112040051328,-0.855565018169022,-0.7982203468248529,IPSL-CM6A-LR
2071,-0.7632229643353504,-0.8231222897480718,-0.821784706212989,IPSL-CM6A-LR
2072,-0.7508534574940596,-0.8861815499241833,-0.8351342991869637,IPSL-CM6A-LR
2073,-0.8200812575020319,-0.8757374910932372,-0.8228224615714603,IPSL-CM6A-LR
2074,-0.8161406377663315,-0.9009866393589456,-0.8509545121958775,IPSL-CM6A-LR
2075,-0.8089424450128478,-0.9108807636163059,-0.8100232255309926,IPSL-CM6A-LR
2076,-0.8020762960451567,-0.9151291792730701,-0.8114920870594732,IPSL-CM6A-LR
2077,-0.8147819605488872,-0.8353060902444949,-0.8139457578958837,IPSL-CM6A-LR
2078,-0.7602762356365185,-0.8429586027925682,-0.8180596299957122,IPSL-CM6A-LR
2079,-0.7649831433672002,-0.8972381545551054,-0.8400760147636618,IPSL-CM6A-LR
2080,-0.7719642247788912,-0.8706955226683001,-0.7775668368163448,IPSL-CM6A-LR
2081,-0.7435693154375005,-0.8662434423334758,-0.8040012689370796,IPSL-CM6A-LR
2082,-0.7437263660127013,-0.866191809792205,-0.8229538868309318,IPSL-CM6A-LR
2083,-0.7653987786134063,-0.814862154816576,-0.8123809968553879,IPSL-CM6A-LR
2084,-0.7244843303688034,-0.760796962189239,-0.8161811827751078,IPSL-CM6A-LR
