Year,Annual,Summer,Winter,Model
2015,58.954556,152.06109619140625,4.273228168487549,IPSL-CM6A-LR
2016,60.414257,158.5006561279297,4.0486741065979,IPSL-CM6A-LR
2017,61.637333,157.0171661376953,4.318086624145508,IPSL-CM6A-LR
2018,62.215717,160.40660095214844,4.464511871337891,IPSL-CM6A-LR
2019,61.36081,158.124267578125,4.259354114532471,IPSL-CM6A-LR
2020,62.06242,159.73651123046875,4.687658786773682,IPSL-CM6A-LR
2021,59.987072,152.84344482421875,4.377012729644775,IPSL-CM6A-LR
2022,59.719723,153.5415496826172,4.093320369720459,IPSL-CM6A-LR
2023,60.73552,155.9500274658203,4.359037399291992,IPSL-CM6A-LR
2024,61.073902,157.73194885253906,4.1584696769714355,IPSL-CM6A-LR
2025,61.27327,158.68687438964844,4.311220645904541,IPSL-CM6A-LR
2026,60.65228,157.24327087402344,4.335285663604736,IPSL-CM6A-LR
2027,60.733307,158.89122009277344,4.346001148223877,IPSL-CM6A-LR
2028,60.449657,156.25718688964844,4.489824295043945,IPSL-CM6A-LR
2029,60.209137,156.24510192871094,4.333830833435059,IPSL-CM6A-LR
2030,60.949276,158.1493377685547,4.460958480834961,IPSL-CM6A-LR
2031,58.77655,154.1601104736328,4.177584171295166,IPSL-CM6A-LR
2032,58.60536,153.2447967529297,4.345227241516113,IPSL-CM6A-LR
2033,61.12811,157.8562774658203,4.256448268890381,IPSL-CM6A-LR
2034,59.085693,153.75955200195312,4.245389461517334,IPSL-CM6A-LR
2035,60.078564,157.05787658691406,4.178892135620117,IPSL-CM6A-LR
2036,59.374035,154.81643676757812,4.122364521026611,IPSL-CM6A-LR
2037,61.163975,156.60919189453125,4.604705810546875,IPSL-CM6A-LR
2038,60.89214,158.2296600341797,4.590808391571045,IPSL-CM6A-LR
2039,61.487797,157.7391815185547,4.750116348266602,IPSL-CM6A-LR
2040,60.708485,156.83323669433594,4.496443271636963,IPSL-CM6A-LR
2041,61.550915,158.0485076904297,4.3670759201049805,IPSL-CM6A-LR
2042,63.171337,162.2256317138672,4.840884685516357,IPSL-CM6A-LR
2043,61.21439,158.50807189941406,4.470099925994873,IPSL-CM6A-LR
2044,61.50807,156.9364471435547,4.530962944030762,IPSL-CM6A-LR
2045,61.679928,159.8098602294922,4.600508213043213,IPSL-CM6A-LR
2046,60.28542,155.8502960205078,4.389166355133057,IPSL-CM6A-LR
