Year,Annual,Summer,Winter,Model
2015,31.450378,10.23296070098877,48.182247161865234,IPSL-CM6A-LR
2016,32.73778,9.97036075592041,50.891143798828125,IPSL-CM6A-LR
2017,27.662706,8.818650245666504,43.166595458984375,IPSL-CM6A-LR
2018,28.632065,8.623644828796387,44.69025802612305,IPSL-CM6A-LR
2019,29.240038,8.117804527282715,45.5278205871582,IPSL-CM6A-LR
2020,28.135048,7.074228763580322,44.8456916809082,IPSL-CM6A-LR
2021,27.959885,7.666285991668701,43.61802673339844,IPSL-CM6A-LR
2022,29.99601,8.523731231689453,46.39450454711914,IPSL-CM6A-LR
2023,29.890467,8.881457328796387,47.71831130981445,IPSL-CM6A-LR
2024,29.441353,8.220478057861328,48.462554931640625,IPSL-CM6A-LR
2025,30.357018,8.418940544128418,47.75021743774414,IPSL-CM6A-LR
2026,31.764215,9.016899108886719,50.980159759521484,IPSL-CM6A-LR
2027,31.636908,10.355018615722656,49.335208892822266,IPSL-CM6A-LR
2028,31.57202,10.80807113647461,47.9252815246582,IPSL-CM6A-LR
2029,30.91205,9.254886627197266,49.98042678833008,IPSL-CM6A-LR
2030,29.874613,8.128952026367188,47.81620407104492,IPSL-CM6A-LR
2031,31.092697,9.362829208374023,48.981143951416016,IPSL-CM6A-LR
2032,33.579205,12.098492622375488,52.6424446105957,IPSL-CM6A-LR
2033,31.014467,9.486490249633789,49.486995697021484,IPSL-CM6A-LR
2034,31.005224,10.296589851379395,47.68342971801758,IPSL-CM6A-LR
2035,33.153034,10.7958345413208,52.01290512084961,IPSL-CM6A-LR
2036,31.492798,9.435811042785645,50.30448913574219,IPSL-CM6A-LR
2037,29.66656,8.292862892150879,45.339237213134766,IPSL-CM6A-LR
2038,28.977503,7.846095561981201,45.88525390625,IPSL-CM6A-LR
2039,29.021898,9.2362642288208,45.066192626953125,IPSL-CM6A-LR
2040,30.562773,9.763467788696289,48.40263366699219,IPSL-CM6A-LR
2041,28.737143,7.451879978179932,48.1661376953125,IPSL-CM6A-LR
2042,27.744497,8.37006664276123,42.2844352722168,IPSL-CM6A-LR
2043,29.160948,8.358057975769043,47.00850296020508,IPSL-CM6A-LR
2044,26.643263,6.87179708480835,41.50776672363281,IPSL-CM6A-LR
2045,28.128473,8.27928352355957,43.19257736206055,IPSL-CM6A-LR
2046,30.202429,9.02974796295166,46.55922317504883,IPSL-CM6A-LR
