Year,Annual,Summer,Winter,Model
2015,-0.4632408783055502,0.020537172783011644,-0.668582942031398,IPSL-CM6A-LR
2016,-0.4418908522807508,0.019229836834300885,-0.665834808698129,IPSL-CM6A-LR
2017,-0.4001485021805476,-0.012756696293937057,-0.62380402649567,IPSL-CM6A-LR
2018,-0.3988343217186326,-0.03329979462492555,-0.6197749751109757,IPSL-CM6A-LR
2019,-0.4284497307435687,0.04722000354436675,-0.6310813281613404,IPSL-CM6A-LR
2020,-0.4355429978181801,-0.005367874097391931,-0.6654107586285374,IPSL-CM6A-LR
2021,-0.4104589835439613,-0.05225032658875423,-0.6265133879389067,IPSL-CM6A-LR
2022,-0.41727974247659544,-0.1297354470151341,-0.5824223435660991,IPSL-CM6A-LR
2023,-0.4837263771694385,-0.05825300007028518,-0.6980016409336133,IPSL-CM6A-LR
2024,-0.41548569522832496,-0.061738774779062526,-0.6416628421922123,IPSL-CM6A-LR
2025,-0.4605941529232906,-0.06115291693288914,-0.6767150257840462,IPSL-CM6A-LR
2026,-0.46608352659302527,-0.039600831065593776,-0.7066961062358966,IPSL-CM6A-LR
2027,-0.4873214265549412,-0.1778541949686752,-0.6767815061899576,IPSL-CM6A-LR
2028,-0.48593703273734934,-0.09898725764458643,-0.670491057692331,IPSL-CM6A-LR
2029,-0.47555184240656473,-0.048935315493762344,-0.6643732562105293,IPSL-CM6A-LR
2030,-0.41966246924184336,0.15647194248359847,-0.6934801487876502,IPSL-CM6A-LR
2031,-0.4283728230034501,-0.17711602884060848,-0.6326320047835291,IPSL-CM6A-LR
2032,-0.48241478252601544,-0.1353692412009892,-0.7220689641456346,IPSL-CM6A-LR
2033,-0.49113613646579896,0.03951323260120871,-0.7180359874465994,IPSL-CM6A-LR
2034,-0.4490270735167907,-0.14392729706478763,-0.6422683754203995,IPSL-CM6A-LR
2035,-0.46623660148024687,-0.17282115910432486,-0.6773267297544825,IPSL-CM6A-LR
2036,-0.4692969704818937,-0.24991665524252113,-0.6792942354679331,IPSL-CM6A-LR
2037,-0.47465782448976607,0.10393684343384482,-0.6565999385692252,IPSL-CM6A-LR
2038,-0.44246465914212335,-0.015598204269934818,-0.684545726229343,IPSL-CM6A-LR
2039,-0.4454271856844089,-0.2503542833186955,-0.7063097331710599,IPSL-CM6A-LR
2040,-0.5106609037435544,-0.054656945114627244,-0.7469374419769733,IPSL-CM6A-LR
2041,-0.43065374320284505,-0.010095827882236447,-0.6842349419696467,IPSL-CM6A-LR
2042,-0.45607212185923257,-0.053496435331481074,-0.6417374004031939,IPSL-CM6A-LR
2043,-0.46448383633610973,-0.06048266945371176,-0.677528037976189,IPSL-CM6A-LR
2044,-0.3996884273814723,-0.056656215942460376,-0.6292355615288925,IPSL-CM6A-LR
2045,-0.4207943676137971,-0.27562796287776165,-0.6746855299995775,IPSL-CM6A-LR
2046,-0.4705800285701776,-0.12327296767954529,-0.6681471902334971,IPSL-CM6A-LR
2047,-0.4561125121541641,-0.1096421328314076,-0.6882735044662883,IPSL-CM6A-LR
2048,-0.4034637213650029,-0.08693436991646751,-0.5890887481217769,IPSL-CM6A-LR
2049,-0.48030848805534926,0.13897320538956195,-0.7335453088807369,IPSL-CM6A-LR
2050,-0.4102918414998476,-0.00972169139426654,-0.7049490667572751,IPSL-CM6A-LR
2051,-0.4414026063728798,-0.12782411187891504,-0.6323454279131244,IPSL-CM6A-LR
2052,-0.44933493798348784,-0.07248292156488019,-0.6842444924966525,IPSL-CM6A-LR
2053,-0.4585538553240736,-0.05948412795217388,-0.6941692826092615,IPSL-CM6A-LR
2054,-0.4490318337379749,-0.1838250810038542,-0.6818762091192556,IPSL-CM6A-LR
2055,-0.4573016619008346,-0.056220065711641135,-0.6957071285421774,IPSL-CM6A-LR
2056,-0.4300782117023438,0.013763249265060432,-0.6186747946564851,IPSL-CM6A-LR
2057,-0.3608223411776483,-0.03512661669975101,-0.5325500180880263,IPSL-CM6A-LR
2058,-0.3999972198084121,-0.008737269849184461,-0.5886846586792023,IPSL-CM6A-LR
2059,-0.45475105946935246,0.09363247158891967,-0.6004920286673153,IPSL-CM6A-LR
2060,-0.42198610529285,-0.002062886472773952,-0.6238201957211978,IPSL-CM6A-LR
2061,-0.4383620866883282,-0.15233067565304656,-0.6503042475575727,IPSL-CM6A-LR
2062,-0.5004638878697013,-0.09224126353066517,-0.6721340707667594,IPSL-CM6A-LR
2063,-0.4413391588137017,0.01112246413298463,-0.6739344057171007,IPSL-CM6A-LR
2064,-0.41702329557446877,-0.04370824235021738,-0.6435728997210278,IPSL-CM6A-LR
2065,-0.4214691769069702,-0.03913292913441132,-0.5976310704757786,IPSL-CM6A-LR
2066,-0.4237959679353798,0.07897945129899094,-0.6360559921344014,IPSL-CM6A-LR
2067,-0.3625592363194805,0.03650846704817296,-0.533842629291617,IPSL-CM6A-LR
2068,-0.40296536554219303,-0.006236001282412192,-0.517718527335602,IPSL-CM6A-LR
2069,-0.39995888027241233,0.06202772282754292,-0.5951767864091895,IPSL-CM6A-LR
2070,-0.3640716132034481,-0.13144767179190842,-0.5012668649488672,IPSL-CM6A-LR
2071,-0.41126562622501844,0.04378702001820098,-0.6352326772202396,IPSL-CM6A-LR
2072,-0.43414652410068494,-0.05073605480243422,-0.6506908877099894,IPSL-CM6A-LR
2073,-0.4250564986892574,-0.1530523233364079,-0.588095403391258,IPSL-CM6A-LR
2074,-0.43579378930158646,-0.07974031815888087,-0.665897872095026,IPSL-CM6A-LR
2075,-0.45086897053513497,-0.10890870088587581,-0.6781007306847229,IPSL-CM6A-LR
2076,-0.3875167154680472,-0.08154635340805605,-0.587964726806251,IPSL-CM6A-LR
2077,-0.47292765099907547,-0.0781665373523238,-0.570407650731008,IPSL-CM6A-LR
2078,-0.4289589916011694,0.009675035035576244,-0.643604318926944,IPSL-CM6A-LR
2079,-0.3606377052971948,-0.0493798619267538,-0.5828386198076265,IPSL-CM6A-LR
2080,-0.3881737219111315,0.0010535187082833146,-0.4691122927654721,IPSL-CM6A-LR
2081,-0.3818164309391747,0.089777135285384,-0.4720263764582087,IPSL-CM6A-LR
2082,-0.36915375680885104,-0.09352027532024253,-0.5070537471056358,IPSL-CM6A-LR
2083,-0.3885999888684207,0.005921522973494887,-0.538453367262275,IPSL-CM6A-LR
2084,-0.3706031583209694,0.09147462220184668,-0.5961750935400534,IPSL-CM6A-LR
2085,-0.3367039712877662,0.05390807861806981,-0.4886209153591704,IPSL-CM6A-LR
2086,-0.3368840209802823,-0.13352661086625103,-0.46985655678958155,IPSL-CM6A-LR
2087,-0.3577326862801849,0.03595203721898631,-0.49603496857865703,IPSL-CM6A-LR
2088,-0.3762158031575613,0.09675394160756143,-0.5605935220380354,IPSL-CM6A-LR
2089,-0.36869693624425187,0.0550168644987995,-0.5761520753085585,IPSL-CM6A-LR
2090,-0.3825808069041036,0.039185957396533605,-0.5719049070703982,IPSL-CM6A-LR
2091,-0.35713605360169637,0.040160545675168524,-0.47920812484276987,IPSL-CM6A-LR
2092,-0.3496235803440184,0.15421091355820588,-0.49308721881773965,IPSL-CM6A-LR
2093,-0.33159598761489123,0.026576223371096903,-0.49601543311161883,IPSL-CM6A-LR
2094,-0.35324839079463516,0.02866030314343706,-0.4692773554866272,IPSL-CM6A-LR
2095,-0.3441387380032544,0.017464495936828094,-0.4639578731579756,IPSL-CM6A-LR
2096,-0.3270520517848549,0.059834647764693015,-0.4994104321841099,IPSL-CM6A-LR
2097,-0.28754829549019323,0.1527154262333829,-0.4287883303645803,IPSL-CM6A-LR
2098,-0.2904919433432205,0.19385225228719677,-0.445793022778571,IPSL-CM6A-LR
2099,-0.27381193238087953,0.0993435386515522,-0.4078415317631063,IPSL-CM6A-LR
2100,-0.289981703050287,-0.29047761295594954,-0.3788650303677773,IPSL-CM6A-LR
