Year,Annual,Summer,Winter,Model
2015,-0.6216894007907307,-0.35809984270627643,-0.6842975712180933,IPSL-CM6A-LR
2016,-0.5633388260981153,-0.321310237210668,-0.6837209651831566,IPSL-CM6A-LR
2017,-0.5513498916090503,-0.27375320231134487,-0.6499464343246734,IPSL-CM6A-LR
2018,-0.5308433182382674,-0.4266108998131331,-0.6546602755477667,IPSL-CM6A-LR
2019,-0.5815620201337829,-0.3967045121707148,-0.6560586623225605,IPSL-CM6A-LR
2020,-0.57263269498963,-0.49956749872067246,-0.7037477162936449,IPSL-CM6A-LR
2021,-0.6319411175573805,-0.46393026201237747,-0.7086951239418192,IPSL-CM6A-LR
2022,-0.5734907247093818,-0.41943218098555135,-0.6547855000644267,IPSL-CM6A-LR
2023,-0.5568896233446158,-0.40913329368552803,-0.6536614204567304,IPSL-CM6A-LR
2024,-0.5692057776882709,-0.3756800518357961,-0.6234751844815573,IPSL-CM6A-LR
2025,-0.5462995985659079,-0.3516301629813347,-0.6392010778121823,IPSL-CM6A-LR
2026,-0.5665626309418076,-0.35754318246843975,-0.6576314605421691,IPSL-CM6A-LR
2027,-0.5684268540257551,-0.37454940743107257,-0.6851585147931761,IPSL-CM6A-LR
2028,-0.5627099082510018,-0.4357887027678752,-0.6724731749153525,IPSL-CM6A-LR
2029,-0.5864364222336602,-0.43423982879385065,-0.6479528636085832,IPSL-CM6A-LR
2030,-0.5712471076187003,-0.3598498236879662,-0.6885449059922863,IPSL-CM6A-LR
2031,-0.5660360159405492,-0.4272749160153211,-0.6758431191511141,IPSL-CM6A-LR
2032,-0.5816498301732212,-0.4029369579436275,-0.6787827439253601,IPSL-CM6A-LR
2033,-0.5562663446112971,-0.4280604461699302,-0.6793440257044182,IPSL-CM6A-LR
2034,-0.5879272444378325,-0.3317435087951303,-0.651010227944665,IPSL-CM6A-LR
2035,-0.5096648137527932,-0.5274824816449668,-0.6397252675650777,IPSL-CM6A-LR
2036,-0.5973430898501436,-0.5099311665094923,-0.6505516872594586,IPSL-CM6A-LR
2037,-0.6053964549470215,-0.2945527977434891,-0.6698281359692329,IPSL-CM6A-LR
2038,-0.5766768524159621,-0.3117331977218342,-0.6927306071987471,IPSL-CM6A-LR
2039,-0.5249829694974808,-0.4072406283278003,-0.6420742376618971,IPSL-CM6A-LR
2040,-0.5829725523921785,-0.4740822606366732,-0.6775618139771415,IPSL-CM6A-LR
2041,-0.5976041648340786,-0.33299357454553,-0.7118854396022063,IPSL-CM6A-LR
2042,-0.529269810793409,-0.3840659095297061,-0.565392108543883,IPSL-CM6A-LR
2043,-0.5367523525178205,-0.4493948424398742,-0.6114247847598917,IPSL-CM6A-LR
2044,-0.5693486799560092,-0.2667363652813947,-0.6334192683909705,IPSL-CM6A-LR
2045,-0.4873256805539672,-0.4525976255326547,-0.6311476532523006,IPSL-CM6A-LR
2046,-0.5515901054874434,-0.31327777018003417,-0.659555923058725,IPSL-CM6A-LR
2047,-0.530901558629583,-0.44582711776130535,-0.6578853792011471,IPSL-CM6A-LR
2048,-0.5497225078687681,-0.4861954742314738,-0.5894799925702947,IPSL-CM6A-LR
2049,-0.5990894479889886,-0.22196500182447992,-0.6754058072989197,IPSL-CM6A-LR
2050,-0.5339210891130953,-0.3232384627229387,-0.6784592635899593,IPSL-CM6A-LR
2051,-0.5377524541833787,-0.31253942755247693,-0.6480807369641418,IPSL-CM6A-LR
2052,-0.4943179180796799,-0.47440447424968013,-0.6153871589868053,IPSL-CM6A-LR
2053,-0.5958257081257087,-0.43010472346764483,-0.7041961435976267,IPSL-CM6A-LR
2054,-0.5469549151955985,-0.38910315215400404,-0.6774670534516499,IPSL-CM6A-LR
2055,-0.5541580641792947,-0.3068272255819998,-0.6439612598242215,IPSL-CM6A-LR
2056,-0.5293993794944729,-0.35406684372821934,-0.6228769513066434,IPSL-CM6A-LR
2057,-0.5156283915387941,-0.187499445712188,-0.6136792332604033,IPSL-CM6A-LR
2058,-0.4876913885346905,-0.327729931247507,-0.6057511391799996,IPSL-CM6A-LR
2059,-0.533392201188938,-0.1933143720520832,-0.6254223672492186,IPSL-CM6A-LR
2060,-0.49041341315737186,-0.25040049173434803,-0.6212423641976943,IPSL-CM6A-LR
2061,-0.5007313972130799,-0.3605348235474957,-0.5922898695547565,IPSL-CM6A-LR
2062,-0.5559893271675036,-0.3012620552210912,-0.6261488918858963,IPSL-CM6A-LR
2063,-0.545518827144904,-0.32808939418695243,-0.6591080498113447,IPSL-CM6A-LR
2064,-0.5395999868773893,-0.3897207188731494,-0.6327316346414326,IPSL-CM6A-LR
2065,-0.573775180578239,-0.33482291852219165,-0.6415008485326498,IPSL-CM6A-LR
2066,-0.5496949408364769,-0.1277748873575283,-0.6416286231999259,IPSL-CM6A-LR
2067,-0.4546762139168923,-0.3631911495511646,-0.5737036038083129,IPSL-CM6A-LR
2068,-0.5419718576814931,-0.2646017657186585,-0.5879219325811277,IPSL-CM6A-LR
2069,-0.4830349313358657,-0.1571539378763547,-0.5913303925541952,IPSL-CM6A-LR
2070,-0.4733176988751708,-0.2502058766819879,-0.5641702904800487,IPSL-CM6A-LR
2071,-0.4810040449237368,-0.10230263464485748,-0.5903091845936351,IPSL-CM6A-LR
2072,-0.48921126749936333,-0.37029295302262133,-0.5964379992598393,IPSL-CM6A-LR
2073,-0.5515069755952263,-0.30800470165719346,-0.6114021846459975,IPSL-CM6A-LR
2074,-0.5209357025579826,-0.3264833301650269,-0.6531509260005997,IPSL-CM6A-LR
2075,-0.5250003803054165,-0.4017824532123861,-0.6463650331495727,IPSL-CM6A-LR
2076,-0.5190279997125112,-0.35128073676220944,-0.590056181291782,IPSL-CM6A-LR
2077,-0.5494604492437251,-0.2333941310423179,-0.5632034930116008,IPSL-CM6A-LR
2078,-0.4963663690309994,-0.18777227480845463,-0.5858262269078001,IPSL-CM6A-LR
2079,-0.4787960812702292,-0.32630733330440825,-0.6231116624588496,IPSL-CM6A-LR
2080,-0.49893941080907145,-0.2379345026022815,-0.5411688399064499,IPSL-CM6A-LR
2081,-0.4689821182644865,-0.19166304548594895,-0.5737775025396875,IPSL-CM6A-LR
2082,-0.45068506796371693,-0.3173344765625434,-0.5303367351991211,IPSL-CM6A-LR
2083,-0.5220874359838023,-0.2040786318814488,-0.5506746654639315,IPSL-CM6A-LR
2084,-0.458211178823472,-0.08473554612910625,-0.5683075542534088,IPSL-CM6A-LR
2085,-0.4437454807934478,-0.08349216616975412,-0.5969104707338099,IPSL-CM6A-LR
2086,-0.4394115222326587,-0.3114707768892218,-0.5517703419931207,IPSL-CM6A-LR
