Year,Annual,Summer,Winter,Model
2015,48.474476,24.353958129882812,66.05953216552734,IPSL-CM6A-LR
2016,46.9751,21.194202423095703,66.31769561767578,IPSL-CM6A-LR
2017,43.429813,20.53965950012207,62.267940521240234,IPSL-CM6A-LR
2018,45.44785,19.3723201751709,64.31109619140625,IPSL-CM6A-LR
2019,45.63408,21.8260498046875,62.82236862182617,IPSL-CM6A-LR
2020,45.43764,20.963598251342773,63.77668380737305,IPSL-CM6A-LR
2021,46.513012,23.60215187072754,63.10919189453125,IPSL-CM6A-LR
2022,46.645206,22.336584091186523,64.2396469116211,IPSL-CM6A-LR
2023,44.682102,20.659940719604492,62.16725158691406,IPSL-CM6A-LR
2024,45.7468,20.779813766479492,63.84914779663086,IPSL-CM6A-LR
2025,44.968216,18.551097869873047,64.30767059326172,IPSL-CM6A-LR
2026,44.929092,19.716222763061523,63.05179977416992,IPSL-CM6A-LR
2027,44.763386,19.119401931762695,63.357208251953125,IPSL-CM6A-LR
2028,45.543964,19.133407592773438,64.862548828125,IPSL-CM6A-LR
2029,46.299942,21.79279136657715,65.23483276367188,IPSL-CM6A-LR
2030,45.79732,20.554899215698242,63.13731384277344,IPSL-CM6A-LR
2031,47.843967,20.682025909423828,67.2386474609375,IPSL-CM6A-LR
2032,46.341824,21.597009658813477,64.00743865966797,IPSL-CM6A-LR
2033,46.445812,20.922208786010742,63.74989700317383,IPSL-CM6A-LR
2034,46.386658,21.017929077148438,63.8381462097168,IPSL-CM6A-LR
2035,45.822144,18.879194259643555,65.59281921386719,IPSL-CM6A-LR
2036,47.01987,22.54152488708496,64.74551391601562,IPSL-CM6A-LR
2037,44.787548,19.616636276245117,62.12550735473633,IPSL-CM6A-LR
2038,44.16725,17.916215896606445,61.92837905883789,IPSL-CM6A-LR
2039,41.585964,17.061189651489258,58.721195220947266,IPSL-CM6A-LR
2040,43.209576,19.85221290588379,60.34687423706055,IPSL-CM6A-LR
2041,44.53099,18.900339126586914,63.35663986206055,IPSL-CM6A-LR
2042,38.91479,16.446256637573242,54.53401565551758,IPSL-CM6A-LR
2043,42.091812,18.28531837463379,59.30532455444336,IPSL-CM6A-LR
2044,41.706783,19.49371910095215,58.77485656738281,IPSL-CM6A-LR
2045,41.140873,16.445518493652344,59.08302307128906,IPSL-CM6A-LR
2046,44.926624,18.6081485748291,63.772674560546875,IPSL-CM6A-LR
2047,43.613403,17.80742835998535,62.21278381347656,IPSL-CM6A-LR
2048,42.437626,17.7643985748291,59.595672607421875,IPSL-CM6A-LR
2049,41.106693,17.797719955444336,57.62652587890625,IPSL-CM6A-LR
2050,39.895935,15.04818344116211,59.217803955078125,IPSL-CM6A-LR
2051,40.432804,16.99454689025879,58.590087890625,IPSL-CM6A-LR
2052,41.731747,16.293115615844727,59.26674270629883,IPSL-CM6A-LR
2053,43.480087,18.018712997436523,61.266754150390625,IPSL-CM6A-LR
2054,41.29734,18.192222595214844,57.8861083984375,IPSL-CM6A-LR
2055,41.57694,15.941810607910156,60.909786224365234,IPSL-CM6A-LR
2056,38.01684,14.855609893798828,54.58477783203125,IPSL-CM6A-LR
2057,36.78468,14.557534217834473,53.73720169067383,IPSL-CM6A-LR
2058,35.912476,12.318404197692871,54.30924606323242,IPSL-CM6A-LR
2059,39.163647,15.589683532714844,57.770809173583984,IPSL-CM6A-LR
2060,37.647335,14.168944358825684,55.86103439331055,IPSL-CM6A-LR
2061,38.481873,15.85546588897705,55.12126541137695,IPSL-CM6A-LR
2062,39.406246,15.653531074523926,57.202880859375,IPSL-CM6A-LR
2063,37.519066,14.515698432922363,55.77986145019531,IPSL-CM6A-LR
2064,38.416553,15.727370262145996,55.20591354370117,IPSL-CM6A-LR
2065,39.67699,17.92854881286621,55.70186233520508,IPSL-CM6A-LR
2066,37.173748,14.400080680847168,54.99137496948242,IPSL-CM6A-LR
2067,37.20622,14.269886016845703,54.693878173828125,IPSL-CM6A-LR
2068,37.773006,17.132980346679688,52.89780807495117,IPSL-CM6A-LR
2069,36.075783,12.92251205444336,53.3159294128418,IPSL-CM6A-LR
2070,33.478836,13.035405158996582,49.41448974609375,IPSL-CM6A-LR
2071,34.91653,12.53764820098877,50.6616325378418,IPSL-CM6A-LR
2072,35.02778,12.821934700012207,52.110233306884766,IPSL-CM6A-LR
2073,37.489536,15.352986335754395,53.57757568359375,IPSL-CM6A-LR
2074,37.17668,13.875260353088379,52.74372863769531,IPSL-CM6A-LR
