Year,Annual,Summer,Winter,Model
2015,-0.5750112987477586,-0.014432763840618146,-0.7374665425291069,IPSL-CM6A-LR
2016,-0.566442194926702,-0.024436970350937098,-0.7398416341953825,IPSL-CM6A-LR
2017,-0.5138007256521372,0.003933119607921788,-0.7129918240446104,IPSL-CM6A-LR
2018,-0.5196577955008096,-0.045053422250984104,-0.7055526877467042,IPSL-CM6A-LR
2019,-0.5421056937099448,-0.009766911085294998,-0.7255802406957508,IPSL-CM6A-LR
2020,-0.5444514248477916,0.012576017267017918,-0.7410587360547156,IPSL-CM6A-LR
2021,-0.5183998448682721,-0.05044068949265362,-0.707303458095227,IPSL-CM6A-LR
2022,-0.543356196481512,-0.16049813680105504,-0.6728308018590555,IPSL-CM6A-LR
2023,-0.5732550160789303,-0.0043084963689600355,-0.7435441353381085,IPSL-CM6A-LR
2024,-0.5149669043228973,-0.05413800759114104,-0.7299511330074184,IPSL-CM6A-LR
2025,-0.5498389587601377,-0.0855954099235713,-0.758166291060495,IPSL-CM6A-LR
2026,-0.5640682747981625,-0.12007053630818144,-0.790654811380197,IPSL-CM6A-LR
2027,-0.595039340119044,-0.25625502800517547,-0.746419590844155,IPSL-CM6A-LR
2028,-0.6074355420110723,-0.11425191055331381,-0.7412473258044142,IPSL-CM6A-LR
2029,-0.5772227939316703,-0.06417106970545927,-0.7739339922826821,IPSL-CM6A-LR
2030,-0.5142424717640613,0.1119799118964972,-0.7717843336175775,IPSL-CM6A-LR
2031,-0.5456744390959801,-0.21820905828172724,-0.7243548086131925,IPSL-CM6A-LR
2032,-0.6022483984405262,-0.18420563107149288,-0.7883548516765283,IPSL-CM6A-LR
2033,-0.5719915200041782,0.018706323168119758,-0.7842857163741159,IPSL-CM6A-LR
2034,-0.5633955305326783,-0.13607476261230492,-0.7433951242439275,IPSL-CM6A-LR
2035,-0.5653820219251802,-0.16872946847218276,-0.7646432707882594,IPSL-CM6A-LR
2036,-0.5575265416548824,-0.2515006379289205,-0.7559523549040248,IPSL-CM6A-LR
2037,-0.561363338300237,0.08965351892993939,-0.7263246137337784,IPSL-CM6A-LR
2038,-0.5336034041592903,-0.016021591063460527,-0.7487738077043476,IPSL-CM6A-LR
2039,-0.5369768582988284,-0.3220563061444639,-0.7827980064787317,IPSL-CM6A-LR
2040,-0.6040309734178274,-0.05304261206414348,-0.7961529732641025,IPSL-CM6A-LR
2041,-0.5080356800881348,-0.03214249682913318,-0.7710000631063841,IPSL-CM6A-LR
2042,-0.5498955395195929,-0.10902700880444138,-0.717735797644841,IPSL-CM6A-LR
2043,-0.5486481555129301,-0.053153725402887465,-0.7557988985237394,IPSL-CM6A-LR
2044,-0.5054305483783949,-0.031928203673223875,-0.7243292854173484,IPSL-CM6A-LR
2045,-0.5271200901096759,-0.2754175693049262,-0.7446235556378723,IPSL-CM6A-LR
2046,-0.5639725147478356,-0.15752976151439854,-0.7295289241604294,IPSL-CM6A-LR
2047,-0.5521991074989158,-0.07878809437234031,-0.7644842366488633,IPSL-CM6A-LR
2048,-0.5064732954570236,-0.12529166369770792,-0.6789683634974099,IPSL-CM6A-LR
2049,-0.5576368047907786,0.11133619891979532,-0.7768395548686079,IPSL-CM6A-LR
2050,-0.4939783201236711,-0.05364406924753335,-0.7629674033282757,IPSL-CM6A-LR
2051,-0.5640404855658758,-0.12694605820006863,-0.7360318492791887,IPSL-CM6A-LR
2052,-0.5503671205930986,-0.07552145896482948,-0.7497383470839512,IPSL-CM6A-LR
2053,-0.5368309992885928,-0.07191279145161904,-0.7533131886358564,IPSL-CM6A-LR
2054,-0.5350888929821649,-0.16876012934947848,-0.7516837206995252,IPSL-CM6A-LR
2055,-0.5251402604370895,-0.07337733668207327,-0.7801315465721232,IPSL-CM6A-LR
2056,-0.4930275660366033,0.031827540725514754,-0.7135576677868295,IPSL-CM6A-LR
2057,-0.4423430316141159,-0.023359623197363358,-0.6419804367739012,IPSL-CM6A-LR
