Year,Annual,Summer,Winter,Model
2015,-0.7612010196702186,-0.5248824804819582,-0.729553929351424,IPSL-CM6A-LR
2016,-0.729763356729062,-0.45071524635271387,-0.7094215044552364,IPSL-CM6A-LR
2017,-0.6923555565463961,-0.3509805586778334,-0.7349669499236392,IPSL-CM6A-LR
2018,-0.6997601359548642,-0.5176152639225828,-0.7352509594251037,IPSL-CM6A-LR
2019,-0.7432390246688229,-0.4919579735999442,-0.7219621060398512,IPSL-CM6A-LR
2020,-0.7262615393609889,-0.6198656130536374,-0.7588387733768628,IPSL-CM6A-LR
2021,-0.7488476746637779,-0.5735820303601811,-0.7489591391419426,IPSL-CM6A-LR
2022,-0.7253244918900057,-0.5550754368620235,-0.6928233820538651,IPSL-CM6A-LR
2023,-0.7186317525480262,-0.5039309274837899,-0.7105898800582149,IPSL-CM6A-LR
2024,-0.7127593309919048,-0.4729480687844173,-0.7067131750210284,IPSL-CM6A-LR
2025,-0.6996621057570717,-0.4671415784821368,-0.711759996418096,IPSL-CM6A-LR
2026,-0.7229914902186584,-0.4928298249424095,-0.7491392650602288,IPSL-CM6A-LR
2027,-0.708911738860399,-0.48222515235144703,-0.7266903878496561,IPSL-CM6A-LR
2028,-0.7228727994513505,-0.5530993013055165,-0.745238725666483,IPSL-CM6A-LR
2029,-0.7410452339382942,-0.5284576724642104,-0.7397928233317128,IPSL-CM6A-LR
2030,-0.7242458949579156,-0.4942176165939608,-0.7590237150783566,IPSL-CM6A-LR
2031,-0.7338878996453451,-0.5420981677768684,-0.7475920476478887,IPSL-CM6A-LR
2032,-0.7291905176884068,-0.5012579679297126,-0.7275690514657334,IPSL-CM6A-LR
2033,-0.7242222926502837,-0.5517535908399142,-0.7533176161607004,IPSL-CM6A-LR
2034,-0.7342470044566163,-0.4036910897401178,-0.7221480959816624,IPSL-CM6A-LR
2035,-0.6842697398780065,-0.6176015617002523,-0.7299005401553468,IPSL-CM6A-LR
2036,-0.7441243109287575,-0.6181296631293866,-0.7192658881853751,IPSL-CM6A-LR
2037,-0.7265553673505192,-0.4092882378309147,-0.7268985944513312,IPSL-CM6A-LR
2038,-0.708320367547949,-0.3897604053235939,-0.7496684588701771,IPSL-CM6A-LR
2039,-0.6768716446021418,-0.5194916811940269,-0.750294339705718,IPSL-CM6A-LR
2040,-0.7215226814909276,-0.5723637111586934,-0.7405124425759628,IPSL-CM6A-LR
2041,-0.728116083720547,-0.4205958444535185,-0.7628265103743398,IPSL-CM6A-LR
2042,-0.6750130357602507,-0.4560768471818316,-0.6898865222860022,IPSL-CM6A-LR
2043,-0.6993780098228538,-0.5448261941342906,-0.6995243032042593,IPSL-CM6A-LR
2044,-0.7130855889707527,-0.3493818780400982,-0.7217547952218275,IPSL-CM6A-LR
2045,-0.6684983322076031,-0.5339275954384916,-0.7152533588710754,IPSL-CM6A-LR
