Year,Annual,Summer,Winter,Model
2015,1042347982.2206525,434366156.42409045,1501042511.0787735,IPSL-CM6A-LR
2016,1045930329.1381651,398885859.53972936,1545967409.0734975,IPSL-CM6A-LR
2017,924360872.9196554,369035627.28240126,1374790541.4836469,IPSL-CM6A-LR
2018,958663411.964056,348363620.9554431,1424439226.400283,IPSL-CM6A-LR
2019,971513928.8777269,373940727.6785342,1412369923.06155,IPSL-CM6A-LR
2020,951111694.3974861,349131096.89322793,1407183056.6866312,IPSL-CM6A-LR
2021,975920974.1946373,404688512.2373751,1397606743.696468,IPSL-CM6A-LR
2022,1012354983.6084057,397792333.94764256,1468237043.627081,IPSL-CM6A-LR
2023,965880635.9511522,370827124.8662732,1429107916.1805458,IPSL-CM6A-LR
2024,986595880.6369268,369174638.94054884,1480105988.8608835,IPSL-CM6A-LR
2025,980715823.5226806,333612574.9196616,1476565395.247506,IPSL-CM6A-LR
2026,990001988.6042427,354544103.27547187,1473777631.3531914,IPSL-CM6A-LR
2027,991516982.8400736,363802355.5169293,1472692320.643892,IPSL-CM6A-LR
2028,992041950.3215266,363498413.4569842,1467847122.9536884,IPSL-CM6A-LR
2029,1002340222.5164189,386800937.2921178,1510935121.8074768,IPSL-CM6A-LR
2030,981399507.7815922,361758834.43644077,1440797726.677098,IPSL-CM6A-LR
2031,1036539156.2604774,377876202.69291824,1534903241.5406578,IPSL-CM6A-LR
2032,1053081855.5967134,437323582.7823992,1534676857.4930012,IPSL-CM6A-LR
2033,1001672767.3071289,379413941.814955,1468590374.581611,IPSL-CM6A-LR
2034,1014528988.3915666,401528146.1892049,1461252419.4164832,IPSL-CM6A-LR
2035,1030392687.3830572,379099713.7159183,1544592125.8174582,IPSL-CM6A-LR
2036,1027803017.6637143,399334610.66279453,1512143257.2978284,IPSL-CM6A-LR
2037,969673123.7775515,344182048.81936395,1411915740.8619645,IPSL-CM6A-LR
2038,945722144.0692081,322417477.0522013,1396263699.4345744,IPSL-CM6A-LR
2039,908179943.1514878,330608951.773464,1332840816.9419632,IPSL-CM6A-LR
2040,948318088.1178622,366230497.56872684,1397115377.2635765,IPSL-CM6A-LR
2041,952143052.1698068,328659278.5109687,1455276612.266021,IPSL-CM6A-LR
2042,853714886.8951899,307072359.1293153,1240947131.999748,IPSL-CM6A-LR
2043,915848776.3588824,330532933.60199696,1366339838.383973,IPSL-CM6A-LR
2044,886303704.7336198,326197942.55091995,1298135490.5241246,IPSL-CM6A-LR
2045,891476740.7668247,314708042.8506643,1309175819.1636155,IPSL-CM6A-LR
2046,978939145.6697493,341451501.21593106,1448903703.1860573,IPSL-CM6A-LR
2047,937505898.5587226,321216049.56283617,1425178520.0801075,IPSL-CM6A-LR
2048,902165129.5529305,298382204.2314718,1348916018.1545632,IPSL-CM6A-LR
2049,881901114.676465,308196724.5019447,1303922283.7947445,IPSL-CM6A-LR
2050,853122943.0109057,264866923.56006572,1328245454.9620333,IPSL-CM6A-LR
2051,870234966.3814073,313556439.42241174,1314785678.4138286,IPSL-CM6A-LR
2052,912097153.5667677,296988001.0018615,1387971410.595226,IPSL-CM6A-LR
2053,928828600.508336,320740901.14081365,1375641262.4604461,IPSL-CM6A-LR
2054,895896321.5332335,349813622.7034479,1305818722.8955314,IPSL-CM6A-LR
2055,924245274.478439,300159589.5306314,1430101409.4405148,IPSL-CM6A-LR
2056,801790288.2476162,262845612.93442,1202957767.2291033,IPSL-CM6A-LR
2057,759641140.5829216,238851362.56992093,1148222437.637622,IPSL-CM6A-LR
2058,736153129.5459975,220749115.91308093,1097589467.115633,IPSL-CM6A-LR
2059,819128262.6074438,276513132.3524439,1238818421.6219196,IPSL-CM6A-LR
2060,820314810.9680704,269595150.88177353,1245200881.1476865,IPSL-CM6A-LR
2061,828180768.6956316,276964831.9355276,1265654800.29714,IPSL-CM6A-LR
2062,865289877.9170233,303085315.89440995,1306100314.1039758,IPSL-CM6A-LR
2063,788263538.6194725,260870735.66041175,1191917973.6566298,IPSL-CM6A-LR
2064,815741788.7514467,280419657.96602255,1224748512.9278226,IPSL-CM6A-LR
2065,814420513.0726477,304114872.3116289,1188975520.045535,IPSL-CM6A-LR
2066,777111733.4570446,248608799.34934497,1196496524.6155035,IPSL-CM6A-LR
2067,777239253.8777318,251935239.18867245,1177592565.1895263,IPSL-CM6A-LR
2068,765990233.9012572,289816136.54527646,1098342097.3123822,IPSL-CM6A-LR
2069,750021458.0703636,228643042.4161873,1125444436.9752674,IPSL-CM6A-LR
2070,689449426.6657643,234375592.10880098,1015652239.1626401,IPSL-CM6A-LR
2071,737591248.3613185,222243557.760633,1095207901.8331409,IPSL-CM6A-LR
2072,744051038.3294975,233780022.03413484,1113312086.1676302,IPSL-CM6A-LR
2073,800544141.084538,279370385.98351914,1185832492.3024096,IPSL-CM6A-LR
2074,783200779.4105397,248682416.39692858,1159454406.0272806,IPSL-CM6A-LR
2075,786619488.1685373,247067034.1260158,1196804331.788025,IPSL-CM6A-LR
2076,717417717.0033655,246525643.97946152,1035889709.6690602,IPSL-CM6A-LR
2077,747745643.135441,247688438.40805256,1125637034.8733819,IPSL-CM6A-LR
2078,744084755.2660503,209888797.68536046,1153013634.1242588,IPSL-CM6A-LR
2079,720550197.0506762,223574696.69814727,1090123934.451624,IPSL-CM6A-LR
2080,687425433.279593,244731209.5365596,1016419260.1648378,IPSL-CM6A-LR
