Correlation_ice,p-value_ice,Variable,Model,Zone,Correlation_ice_k,p-value_ice_k
0.10341118505297069,5.388028948618004e-08,NPP,EC-Earth3-CC,inc,0.2157136300670641,1.3619829160070123e-63
0.29259102322843145,6.145960193951583e-29,NPP,EC-Earth3-CC,dec,0.2203073579928391,4.894514415468925e-34
-0.0006570133921781215,0.9725125646528817,Diatom,EC-Earth3-CC,inc,0.11798765772456671,3.3255719468573036e-20
0.007673064104967823,0.7746223317102037,Diatom,EC-Earth3-CC,dec,-0.006290075461784794,0.7283889153060525
-0.28223747643062264,1.3865173889566573e-51,Mixed layer depth,EC-Earth3-CC,inc,-0.13241869785155005,4.939269341260948e-25
-0.28593116681742137,1.1757032658005175e-27,Mixed layer depth,EC-Earth3-CC,dec,-0.25928136387056233,1.7714789063925116e-46
-0.5657122361066944,1.0437785338320483e-232,Nitrate,EC-Earth3-CC,inc,-0.3765072113992448,9.032319256840478e-190
-0.543791573464646,3.572115021962689e-108,Nitrate,EC-Earth3-CC,dec,-0.3948906656910122,2.2424409257811883e-105
0.356021354539826,4.6229179305992116e-83,PAR,EC-Earth3-CC,inc,0.38161944785297086,6.671596579302253e-195
0.6487933098346005,1.8118381401584235e-167,PAR,EC-Earth3-CC,dec,0.5154401657659956,3.9932324963574523e-178
-0.40361834925952905,3.0701627336348737e-145,Iron,MPI-ESM1-2-HR,inc,-0.25312471024237654,8.862422207171401e-117
-0.5594374809562229,2.1709298590656106e-170,Iron,MPI-ESM1-2-HR,dec,-0.38615284724320376,1.2923503187336771e-148
0.283342263416168,2.247362840062786e-69,NPP,MPI-ESM1-2-HR,inc,0.15730310816446655,3.0928072060774714e-46
0.1342899603626782,8.982480145937333e-10,NPP,MPI-ESM1-2-HR,dec,0.012884661805823653,0.386322827183169
-0.5690691506614097,4.1137585e-317,Mixed layer depth,MPI-ESM1-2-HR,inc,-0.42714115011205145,0.0
-0.7468874562284677,0.0,Mixed layer depth,MPI-ESM1-2-HR,dec,-0.5687438613905096,0.0
-0.4181695940963847,7.929190969801927e-157,Nitrate,MPI-ESM1-2-HR,inc,-0.2586129974940836,8.225873534969267e-122
-0.5456117820678481,1.5861521044773587e-160,Nitrate,MPI-ESM1-2-HR,dec,-0.3556774812156837,2.1844132934948632e-126
0.4546445130142412,1.6442772807002983e-188,PAR,MPI-ESM1-2-HR,inc,0.3451891969542488,1.9813658984914183e-215
0.051719887560406054,0.01875227633256706,PAR,MPI-ESM1-2-HR,dec,0.010301438198974345,0.48854733479130885
0.2193097530980797,9.92796429466279e-53,Iron,ACCESS-ESM1-5,inc,0.20228006239267496,1.237940575479471e-96
-0.20107616001129022,0.06664502564843049,Iron,ACCESS-ESM1-5,dec,-0.23522662076878945,0.0015363333481877757
0.27319020286411444,6.421685807949306e-82,NPP,ACCESS-ESM1-5,inc,0.45697867251471913,0.0
-0.3608235380357454,0.0007467912623579516,NPP,ACCESS-ESM1-5,dec,-0.4348823866896156,4.728937549200762e-09
-0.36234116693217777,4.6442230591485145e-147,Mixed layer depth,ACCESS-ESM1-5,inc,-0.3116494785734256,1.2755154298274466e-226
0.04144534932780798,0.7081646662435664,Mixed layer depth,ACCESS-ESM1-5,dec,0.1267928858290304,0.08773202821144371
-0.554403193161098,0.0,Nitrate,ACCESS-ESM1-5,inc,-0.3685960174970754,0.0
-0.09896757704195037,0.3704326223326271,Nitrate,ACCESS-ESM1-5,dec,-0.0189328743545611,0.7987510932549102
0.5054096078929701,6.730970608973577e-306,PAR,ACCESS-ESM1-5,inc,0.44122429624571763,0.0
0.07676782293210929,0.4876373682217433,PAR,ACCESS-ESM1-5,dec,-0.17728055077452667,0.016968577198397585
0.09264808810749516,1.572728959042202e-08,Iron,CMCC-ESM2,inc,0.037758132552221525,0.0005692038864698398
-0.48855656206574366,2.2156108232265852e-82,Iron,CMCC-ESM2,dec,-0.33833881558818274,1.3515067114020198e-72
0.060081941906735783,0.0002505939196647131,NPP,CMCC-ESM2,inc,0.13949509481196817,3.998115665790208e-37
0.3086263395621562,2.3422235449821736e-31,NPP,CMCC-ESM2,dec,0.24965126408409619,2.4204084397131653e-40
0.08305250220502904,4.0677877233252686e-07,Diatom,CMCC-ESM2,inc,0.17556985496703068,8.851100896378401e-58
0.365680056761376,3.178705179438492e-44,Diatom,CMCC-ESM2,dec,0.3022595797628196,2.6082306055868553e-58
-0.5000528298266069,5.306311165082689e-234,Mixed layer depth,CMCC-ESM2,inc,-0.37966451177122035,4.638779890190918e-263
-0.5841786958691197,4.513740769358459e-125,Mixed layer depth,CMCC-ESM2,dec,-0.3059707958117422,1.0486557196550074e-59
-0.3223006642558851,1.981451238986823e-90,Nitrate,CMCC-ESM2,inc,-0.26698296093783536,3.983880220558131e-131
-0.6203994328938937,2.8177474096312602e-145,Nitrate,CMCC-ESM2,dec,-0.3479642109071864,1.120810120165683e-76
0.04582506625695978,0.0052428657447270806,PAR,CMCC-ESM2,inc,0.07399478138239862,1.4491314320737529e-11
0.4890677989243264,1.4179978789113125e-82,PAR,CMCC-ESM2,dec,0.38045791841927395,2.6981865184293015e-91
0.3807111107423391,1.7980402865333314e-117,Iron,IPSL-CM6A-LR,inc,0.23442194282697743,6.127877842720913e-93
0.2110159627014515,3.3247655938099085e-31,Iron,IPSL-CM6A-LR,dec,0.04059322239675996,0.0010265948674165568
0.2986718619636689,7.211904969492987e-71,NPP,IPSL-CM6A-LR,inc,0.18552307251546757,6.593820743054675e-59
-0.15372818375111197,3.805251331663093e-17,NPP,IPSL-CM6A-LR,dec,-0.04670730361127827,0.00015832459226624573
0.3425159165982692,5.16380871102888e-94,Diatom,IPSL-CM6A-LR,inc,0.3350193725592721,9.521815241381483e-188
0.17662307958186535,3.283291905424282e-22,Diatom,IPSL-CM6A-LR,dec,0.10152917033059469,2.1832165876865024e-16
-0.5851642636515785,5.0606061414317e-311,Mixed layer depth,IPSL-CM6A-LR,inc,-0.4048790273914896,3.0759375702606314e-273
-0.5922266821617775,2.542144664788618e-280,Mixed layer depth,IPSL-CM6A-LR,dec,-0.3492910904717926,1.4122027058420675e-175
-0.6884884786807607,0.0,Nitrate,IPSL-CM6A-LR,inc,-0.5125270485835566,0.0
-0.45050084240990157,3.254522006352484e-148,Nitrate,IPSL-CM6A-LR,dec,-0.2278188518856425,8.167045429609632e-76
0.3855822867169869,1.0660139703627751e-120,PAR,IPSL-CM6A-LR,inc,0.2637991926938375,3.562702935539657e-117
0.2580409511285627,2.5291129770897926e-46,PAR,IPSL-CM6A-LR,dec,0.2855119568578099,5.585460033105726e-118
